New,Old
弁財,辨財
弁円,辨圓
弁解,辯解
弁が立つ,辯が立つ
弁韓,弁韓
弁慶,辨慶
弁口,辯口
弁巧,辯巧
弁座,瓣座
弁鰓類,瓣鰓類
弁指し,辨指し
弁識,辨識
弁者,辯者
弁じる,辨じる
弁神論,辯神論
弁疏,辯疏
弁知,辨智
弁置換術,瓣置換術
弁長,辨長
弁天,辨天
弁難,辯難
弁内侍,辨内侍
弁駁,辯駁
弁髪,辮髪
弁別,辨別
返弁,返辨
弁理,辨理
房室弁,房室瓣
膨張弁,膨張瓣
町弁,町辨
用弁,用辨
翼弁,翼瓣
離弁,離瓣
竜骨弁,龍骨瓣
論弁,論辨
弁ふ,辨ふ
弁え,辨え
